marker1,marker2,marker3,distance1,distance2,distance3,AAA,AAB,AAH,ABA,ABB,ABH,AHA,AHB,AHH,BAA,BAB,BAH,BBA,BBB,BBH,BHA,BHB,BHH,HAA,HAB,HAH,HBA,HBB,HBH,HHA,HHB,HHH
D1M1,D1M7,D1M8,0,8.053691275,9.395973154,565,1,24,0,7,1,1,5,125,6,0,0,0,572,15,4,1,147,145,0,4,0,167,5,18,19,1167
D1M4,D1M5,D1M17,4.026845638,5.369127517,21.47651007,459,23,216,1,0,0,5,7,17,0,0,0,30,465,241,2,7,21,22,1,12,1,20,7,230,228,984
D1M4,D1M5,D1M18,4.026845638,5.369127517,22.81879195,444,27,227,1,0,0,4,7,18,0,0,0,35,457,244,2,7,21,21,2,12,1,16,11,248,240,954
D1M4,D1M5,D1M11,4.026845638,5.369127517,13.42281879,563,7,128,0,1,0,2,2,25,0,0,0,5,590,141,1,7,22,28,0,7,1,22,5,139,145,1158
D1M4,D1M17,D1M18,4.026845638,21.47651007,22.81879195,449,0,16,0,29,1,0,5,228,31,0,1,0,461,11,6,3,253,249,0,4,0,240,9,21,18,964
D1M4,D1M11,D1M17,4.026845638,13.42281879,21.47651007,443,10,112,1,7,2,21,13,119,4,0,2,10,458,129,18,14,131,138,2,28,1,135,31,114,112,944
D1M4,D1M11,D1M18,4.026845638,13.42281879,22.81879195,427,12,126,1,7,2,21,15,117,4,0,2,13,449,135,20,15,128,136,2,30,1,128,38,133,128,909
D1M5,D1M17,D1M18,5.369127517,21.47651007,22.81879195,465,0,16,0,23,1,0,6,222,31,0,1,0,470,15,6,3,239,233,0,4,0,237,5,21,17,984
D1M5,D1M11,D1M17,5.369127517,13.42281879,21.47651007,463,10,118,0,5,2,18,9,108,5,0,1,11,472,130,16,13,117,117,2,23,1,123,30,119,117,969
D1M5,D1M11,D1M18,5.369127517,13.42281879,22.81879195,447,12,132,0,5,2,18,12,105,5,0,1,14,459,140,18,14,114,115,2,25,1,120,33,138,132,935
D1M11,D1M17,D1M18,13.42281879,21.47651007,22.81879195,567,0,18,0,11,1,0,3,139,12,0,0,0,582,18,3,2,157,150,0,3,0,137,2,24,21,1149
