marker 1,marker 2,marker 3,r1,r2,n_00,n_01,n_10,n_11,C max,log(C max),log(C=1),Xi
D1M3,D1M11,D1M19,0.107383,0.107383,1698.750000,770.750000,771.250000,611.250000,2.850000,-6432.833486,-6729.701346,-593.735720
D1M13,D1M21,D1M29,0.107383,0.107383,1686.500000,776.500000,763.000000,614.000000,2.860000,-6433.270182,-6733.328086,-600.115809
D1M23,D1M31,D1M39,0.107383,0.107383,1669.750000,780.250000,760.750000,615.250000,2.860000,-6438.071965,-6738.618562,-601.093194
D1M33,D1M41,D1M49,0.107383,0.107383,1675.500000,755.500000,780.000000,615.000000,2.870000,-6424.081592,-6725.912605,-603.662025
D1M43,D1M51,D1M59,0.107383,0.107383,1687.250000,778.250000,754.750000,618.750000,2.880000,-6432.710092,-6739.454030,-613.487876
D1M53,D1M61,D1M69,0.107383,0.107383,1694.250000,755.750000,777.750000,615.250000,2.870000,-6423.493049,-6726.597961,-606.209825
D1M63,D1M71,D1M79,0.107383,0.107382,1686.750000,765.750000,761.750000,613.750000,2.870000,-6401.277974,-6704.130204,-605.704461
D1M73,D1M81,D1M89,0.107383,0.107383,1690.750000,776.250000,784.750000,617.250000,2.840000,-6501.051481,-6799.214471,-596.325980
D1M83,D1M91,D1M99,0.107383,0.107383,1702.000000,782.500000,774.000000,611.500000,2.830000,-6471.968814,-6765.557497,-587.177365
D1M93,D1M101,D1M109,0.107383,0.107383,1670.000000,777.500000,759.500000,616.000000,2.870000,-6430.285768,-6732.641678,-604.711820
D1M103,D1M111,D1M119,0.107383,0.107383,1667.500000,776.000000,782.500000,618.000000,2.840000,-6492.455541,-6791.415632,-597.920183
D1M113,D1M121,D1M129,0.107383,0.107383,1697.000000,773.000000,773.500000,619.500000,2.870000,-6472.326503,-6776.672484,-608.691963
D1M123,D1M131,D1M139,0.107382,0.107383,1694.500000,781.500000,782.500000,606.500000,2.800000,-6472.761040,-6759.128335,-572.734590
D1M133,D1M141,D1M149,0.107383,0.107383,1722.000000,760.500000,774.000000,611.500000,2.860000,-6418.872011,-6718.512376,-599.280730
